Country,City,地级市,经度,纬度,人口,城镇,城鎮,国家,國家
Svalbard and Jan Mayen,Longyearbyen,1,15.61,78.21,1263,朗伊尔城,朗伊爾城,斯瓦尔巴德和扬马扬,斯瓦爾巴德和揚馬揚
Angola,Luanda,1,13.24,-8.82,2875277,罗安达,羅安達,安哥拉,安哥拉
Zambia,Lusaka,1,28.29,-15.42,1306577,卢萨卡,盧薩卡,赞比亚,贊比亞
Luxembourg,Luxemburg,1,6.12,49.62,76380,卢森堡,盧森堡,卢森堡,盧森堡
Spain,Madrid,1,-3.71,40.42,3146804,马德里,馬德裏,西班牙,西班牙
Equatorial Guinea,Malabo,1,8.79,3.74,161409,马拉博,馬拉博,赤道几内亚,赤道幾內亞
Maldives,Male,1,73.5,4.17,87154,马累,馬累,马尔代夫,馬爾代夫
Nicaragua,Managua,1,-86.27,12.15,990417,马那瓜,馬那瓜,尼加拉瓜,尼加拉瓜
Bahrain,Manama,1,50.58,26.21,147894,麦纳麦,麥納麥,巴林,巴林
Philippines,Manila,1,120.97,14.62,10546511,马尼拉,馬尼拉,菲律宾,菲律賓
Mozambique,Maputo,1,32.57,-25.95,1220167,马普托,馬普托,莫桑比克,莫桑比克
Lesotho,Maseru,1,27.49,-29.31,116268,马塞卢,馬塞盧,莱索托,萊索托
Wallis and Futuna,Mata'utu,1,-176.13,-13.28,1310,马塔乌图,馬塔烏圖,瓦利斯和富图纳,瓦利斯和富圖納
Swaziland,Mbabane,1,31.14,-26.32,78740,姆巴巴内,姆巴巴內,斯威士兰,斯威士蘭
Mexico,Mexico City,1,-99.14,19.43,8659409,墨西哥城,墨西哥城,墨西哥,墨西哥
Belarus,Minsk,1,27.55,53.91,1747482,明斯克,明斯克,白俄罗斯,白俄羅斯
Somalia,Mogadishu,1,45.33,2.05,2723378,摩加迪沙,摩加迪沙,索马里,索馬裏
Monaco,Monaco-Ville,1,7.42,43.74,975,摩纳哥维尔,摩納哥維爾,摩纳哥,摩納哥
Liberia,Monrovia,1,-10.8,6.31,954458,蒙罗维亚,蒙羅維亞,利比里亚,利比裏亞
Uruguay,Montevideo,1,-56.17,-34.87,1271664,蒙得维的亚,蒙得維的亞,乌拉圭,烏拉圭
Comoros,Moroni,1,43.23,-11.74,43704,莫罗尼,莫羅尼,科摩罗,科摩羅
Russia,Moscow,1,37.62,55.75,10472629,莫斯科,莫斯科,俄罗斯,俄羅斯
Oman,Muscat,1,58.54,23.61,24122,马斯喀特,馬斯喀特,阿曼,阿曼
Chad,N'Djamena,1,15.05,12.11,737281,恩贾梅纳,恩賈梅納,乍得,乍得
Kenya,Nairobi,1,36.82,-1.29,2864667,内罗毕,內羅畢,肯尼亚,肯尼亞
China,Nanchang,3,115.88,28.68,1934445,南昌,南昌,中国,中國
China,Nanjing,3,118.78,32.05,3160179,南京,南京,中国,中國
China,Nanning,3,108.32,22.82,805718,南宁,南寧,中国,中國
Bahamas,Nassau,1,-77.33,25.06,231519,拿骚,拿騷,巴哈马,巴哈馬
India,Ni Dilli,1,77.22,28.6,321883,尼迪利,尼迪利,印度,印度
Niger,Niamey,1,2.12,13.52,801297,尼亚美,尼亞美,尼日尔,尼日爾
Cyprus,Nicosia,1,33.38,35.16,202488,尼科西亚,尼科西亞,塞浦路斯,塞浦路斯
